,Title,Cluster,new_pca_cluster,new_ump_cluster
157,business analyst-accounts receivable management,Data Analytics,Leadership,Data Analytics
158,people analytics consultant,Data Analytics,Leadership,IT Engineering
159,senior it business analyst,Data Analytics,Leadership,Data Analytics
160,"director, data integration",Data Analytics,Data Analytics,IT Engineering
161,marketing analyst,Marketing,Leadership,Data Analytics
162,data visualisation analyst,Data Analytics,Leadership,Data Analytics
163,strategic intelligence analyst,Data Analytics,Leadership,Data Analytics
164,data intelligence consultant,Data Analytics,Leadership,Data Analytics
165,big data architect,Data Analytics,Leadership,Data Analytics
166,trainee,Other,Leadership,IT Engineering
167,team leader-intelligence,Other,Leadership,IT Engineering
168,supply chain and operations management consultant,Other,Leadership,Leadership
169,biz conultant,Other,Leadership,IT Engineering
170,research analyst,Other,Leadership,Data Analytics
171,senior media data solutions consultant. martech and adtech. product owner,Marketing,Leadership,Data Analytics
172,"director, analytics",Data Analytics,Data Analytics,IT Engineering
173,human resources data quality manager,Other,Product Management,IT Engineering
174,security analyst,IT Engineering,Leadership,Data Analytics
175,cybersecurity analyst,IT Engineering,Leadership,Data Analytics
176,"co-founder, women in data and managing director",Other,Data Analytics,IT Engineering
177,web analyst,Data Analytics,Leadership,Data Analytics
178,corporate trainer,Other,Leadership,IT Engineering
179,digital analyst,Marketing,Leadership,Data Analytics
180,solutions analyst,Other,Leadership,Data Analytics
181,technology & data analyst,Data Analytics,Leadership,Data Analytics
182,"assistant vice president, senior accountant ii, treasury analyst",Other,Marketing,Marketing
183,data science director,Data Analytics,Data Analytics,IT Engineering
184,maintaining software and hardware.,IT Engineering,Leadership,IT Engineering
185,marketing research analyst,Marketing,Leadership,Data Analytics
186,"director, marketing strategy, leadership, insights, customer experience, product marketing",Marketing,Data Analytics,IT Engineering
187,public affairs specialist,Other,Leadership,Data Analytics
188,"regional director, advanced analytics solutions latam",Data Analytics,Data Analytics,IT Engineering
189,"global executive director, head of demand generation and performance analytics",Marketing,Data Analytics,IT Engineering
190,"senior manager, insights and strategies",Data Analytics,Product Management,Leadership
191,finance data analyst,Data Analytics,Leadership,Data Analytics
192,it analyst,IT Engineering,Leadership,Data Analytics
193,senior data analytics,Data Analytics,Leadership,Data Analytics
194,supply chain manager,Other,Product Management,Leadership
195,"director, database marketing",Marketing,Data Analytics,IT Engineering
196,data coordinator,Data Analytics,Leadership,Data Analytics
197,consumer and market analyst,Marketing,Leadership,Data Analytics
198,hris information analyst,Data Analytics,Leadership,Data Analytics
199,crm manager,Other,Product Management,Leadership
200,"senior vice president, information technology",IT Engineering,Marketing,Marketing
201,"vice president, it operations-canada",IT Engineering,Marketing,Marketing
202,"vice president, technology transformation architecture",IT Engineering,Marketing,Marketing
203,"senior director, technology",IT Engineering,Leadership,IT Engineering
204,head of architecture and platform development,IT Engineering,Leadership,Data Analytics
205,"director, it and business transformation",IT Engineering,Data Analytics,IT Engineering
206,"gm, platforms, technology, new business, alt media sdn bhd",IT Engineering,Leadership,Product Management
207,user experience lead,Other,Leadership,IT Engineering
208,it program manager,IT Engineering,Product Management,Leadership
209,"vice president, strategy, innovations, and it",IT Engineering,Marketing,Marketing
210,product director,Other,Data Analytics,IT Engineering
211,vpe meios-tecnologia da informação,IT Engineering,Leadership,IT Engineering
212,solution architect,IT Engineering,Leadership,IT Engineering
213,"senior vice president, chief strategy and integration officer",Other,Marketing,Marketing
214,"chief technical officer, chief operations officer, chief information officer gravity payments",IT Engineering,Leadership,Marketing
215,"director, experimentation",Other,Data Analytics,IT Engineering
216,technical architect,IT Engineering,Leadership,IT Engineering
217,crm broadcast executive,Other,Leadership,Leadership
218,"vice president, information technology",IT Engineering,Marketing,Marketing
219,"chief technologist, systems and technology",IT Engineering,Leadership,Marketing
220,"director, product management, e-commerce",Other,Data Analytics,IT Engineering
221,director product management,Other,Data Analytics,IT Engineering
222,web specialist,IT Engineering,Leadership,Data Analytics
223,chief information officer financial services,IT Engineering,Leadership,Marketing
224,head of ad technology,IT Engineering,Leadership,Leadership
225,head of contact centre online business and support,IT Engineering,Leadership,Product Management
226,ad technology manager,IT Engineering,Product Management,Leadership
227,"senior manager, application development",IT Engineering,Product Management,Leadership
228,information technology project manager,IT Engineering,Product Management,Leadership
229,automation services (information technology) manager,IT Engineering,Product Management,Leadership
230,it service delivery manager,IT Engineering,Product Management,Leadership
231,information technology asset manager,IT Engineering,Product Management,Leadership
232,senior treasury information technology specialist,IT Engineering,Leadership,Leadership
233,it infrastructure manager,IT Engineering,Product Management,Leadership
234,enterprise director sales-mexico,Other,Data Analytics,IT Engineering
235,manager enterprise architecture,IT Engineering,Product Management,Leadership
236,chief technology officer (chief technical officer),IT Engineering,Leadership,Marketing
237,"director, information technology entprz bus intel",IT Engineering,Leadership,Leadership
238,senior website and technical support officer,IT Engineering,Leadership,IT Engineering
239,business process and systems manager,IT Engineering,Product Management,Leadership
240,tiq technical deployment lead,IT Engineering,Leadership,IT Engineering
241,group it manager,IT Engineering,Product Management,Leadership
242,business features writer,Other,Leadership,IT Engineering
243,"senior director, business channel strategy",Other,Leadership,IT Engineering
244,senior solution architect,IT Engineering,Leadership,IT Engineering
245,"vice president, revenue and technology",IT Engineering,Marketing,Marketing
246,"senior software engineering manager-devops, application architect",IT Engineering,Product Management,Leadership
247,it systems and client services specialist,IT Engineering,Leadership,Data Analytics
248,director it infrastructure,IT Engineering,Data Analytics,IT Engineering
249,"assistant director, web development",IT Engineering,Data Analytics,IT Engineering
250,webmaster,IT Engineering,Leadership,IT Engineering
251,managing director-indonesia,Other,Data Analytics,IT Engineering
252,head of it operations,IT Engineering,Leadership,Data Analytics
253,director it engineering & operations,IT Engineering,Data Analytics,IT Engineering
254,general manager information technology,IT Engineering,Product Management,Leadership
255,it facilities manager,Other,Product Management,Leadership
256,co-founder and chief technical officer,IT Engineering,Leadership,Marketing
257,information technology infrastructure and project manager,IT Engineering,Product Management,Leadership
258,head of it,IT Engineering,Leadership,Data Analytics
259,information technology infrastructure manager,IT Engineering,Product Management,Leadership
260,information technology programme manager,IT Engineering,Product Management,Leadership
261,"director, product strategy",Marketing,Data Analytics,IT Engineering
262,managing director-nike brazil,Other,Data Analytics,IT Engineering
263,senior it coord.,IT Engineering,Leadership,IT Engineering
264,assistant to chief information officer,IT Engineering,Leadership,Marketing
265,communications manager-technology programme,Marketing,Product Management,Leadership
266,information technology manager development,IT Engineering,Product Management,Leadership
267,principal architect - enterprise and strategy,IT Engineering,Leadership,IT Engineering
268,"director | customer experience + innovation, respiratory",Other,Data Analytics,IT Engineering
269,public sector manager,Other,Product Management,Leadership
270,"applications manager, it",IT Engineering,Product Management,Leadership
271,head of information technology,IT Engineering,Leadership,Leadership
272,nformation technology manager operations,IT Engineering,Product Management,Leadership
273,chief executive officer and managing director,Other,Leadership,Marketing
274,business director uk,Other,Data Analytics,IT Engineering
275,senior ux manager,Other,Product Management,Leadership
276,"vice president, technology support services",IT Engineering,Marketing,Marketing
277,"team lead, integrations",IT Engineering,Leadership,IT Engineering
278,director ampm and arco,Other,Data Analytics,IT Engineering
279,"go-to-market senior manager, product marketing",Marketing,Product Management,Leadership
280,"applications vice president, information technology",IT Engineering,Marketing,Marketing
281,"director, product, medsavvy",Other,Data Analytics,IT Engineering
282,"technology delivery manager, medsavvy",IT Engineering,Product Management,Leadership
283,crm担当,IT Engineering,Leadership,IT Engineering
284,technology specialist,IT Engineering,Leadership,Data Analytics
285,nformation technology specialist,IT Engineering,Leadership,Product Management
286,technology specialist-business machines,IT Engineering,Leadership,Product Management
287,information technology procurement,IT Engineering,Leadership,Leadership
288,sector director,Other,Data Analytics,IT Engineering
289,"senior vice president, information technology manager",IT Engineering,Product Management,Marketing
290,media director,Marketing,Data Analytics,IT Engineering
291,executive editor,Other,Leadership,Leadership
292,host service quality consultant,Other,Leadership,Data Analytics
293,head application service center,Other,Leadership,Data Analytics
294,head of it programmes,IT Engineering,Leadership,Data Analytics
295,it governance coordinator,IT Engineering,Leadership,Data Analytics
296,"director, product management",Other,Data Analytics,IT Engineering
297,client service director,Other,Data Analytics,IT Engineering
298,general manager-technology,IT Engineering,Product Management,Leadership
299,senior manager-transformation change execution,Other,Product Management,Leadership
300,quality management specialist,Other,Leadership,Data Analytics
301,tracking and tag manager consultant,Marketing,Product Management,Leadership
302,president,Other,Leadership,Marketing
303,editor,Other,Leadership,IT Engineering
304,senior sme,Other,Leadership,Data Analytics
305,"vice president, engineering and operations",IT Engineering,Marketing,Marketing
306,pastor,Other,Leadership,IT Engineering
307,chief executive officer,Other,Leadership,Marketing
308,"senior vice president, chief experience officer",Other,Marketing,Marketing
309,gamer,Other,Leadership,IT Engineering
310,business transformation project manager,Other,Product Management,Leadership
311,portfolio manager,Other,Product Management,Leadership
312,referentin der geschäftsführung,Other,Leadership,IT Engineering
313,larryt40,Other,Leadership,IT Engineering
314,その他,Other,Leadership,IT Engineering
315,head of strategy and business development,Other,Leadership,Leadership
316,consultant fcc,Other,Leadership,Data Analytics
317,president and owner,Other,Leadership,IT Engineering
318,manager development,Other,Product Management,Leadership
319,senior network/systems engineer,IT Engineering,Leadership,Data Analytics
320,network technician,IT Engineering,Leadership,IT Engineering
321,general manager product longhaul,Other,Product Management,Leadership
322,vice president business development,Other,Leadership,Marketing
323,clinical director,Other,Data Analytics,IT Engineering
324,cro,Other,Leadership,IT Engineering
325,pm,Other,Leadership,IT Engineering
326,course leader,Other,Leadership,IT Engineering
327,none,Other,Leadership,IT Engineering
328,"director, test development",Other,Data Analytics,IT Engineering
329,banking consultant,Other,Leadership,Data Analytics
330,customer experience team,Other,Leadership,IT Engineering
331,staff,Other,Leadership,IT Engineering
332,head of communications,Other,Leadership,Data Analytics
333,principal-business transformation leader,Other,Leadership,IT Engineering
334,it student,IT Engineering,Leadership,Data Analytics
335,e-commerce manager operations,Other,Product Management,Leadership
336,senior solutions strategist/architect/advisor and pm of complex projects,Other,Leadership,IT Engineering
337,"general manager, china business-new media",Other,Product Management,Leadership
338,policy team leader,Other,Leadership,IT Engineering
339,"vice president, beauty",Other,Leadership,Marketing
340,"director, human resources",Other,Data Analytics,IT Engineering
341,cyber defense,IT Engineering,Leadership,IT Engineering
342,ci senior consultant,Other,Leadership,Data Analytics
343,associate vice president and chief information officer,IT Engineering,Marketing,Marketing
344,"director, arity, customer success",Other,Data Analytics,IT Engineering
345,developer,IT Engineering,Leadership,IT Engineering
346,business solutions administrator,IT Engineering,Leadership,Data Analytics
347,project manager-contract,Other,Product Management,Leadership
348,"j. cardosi, inc.",Other,Leadership,IT Engineering
349,"director, r",Other,Data Analytics,IT Engineering
350,chief experience officer,Other,Leadership,Marketing
351,director mkt and comm,Marketing,Data Analytics,IT Engineering
352,principal/partner,Other,Leadership,IT Engineering
353,"senior manager, sales",Other,Product Management,Leadership
354,sc,Other,Leadership,IT Engineering
355,一般社員,Other,Leadership,IT Engineering
356,"president, chief operations officer",Other,Leadership,Marketing
357,europe crm manager,Other,Product Management,Leadership
358,attorney and owner,Other,Leadership,IT Engineering
359,support,Other,Leadership,IT Engineering
360,it assistant project manager,IT Engineering,Product Management,Leadership
361,"vice president, is",Other,Leadership,Marketing
362,"director, publishing and communications",Marketing,Data Analytics,IT Engineering
363,web design,IT Engineering,Leadership,Data Analytics
364,コンサルティング,Other,Leadership,IT Engineering
365,"regional director, anz",Other,Data Analytics,IT Engineering
366,senior it administrator,IT Engineering,Leadership,Data Analytics
367,it manager,IT Engineering,Product Management,Leadership
368,communications manager,Marketing,Product Management,Leadership
369,board member,Other,Leadership,IT Engineering
370,vp,Other,Leadership,IT Engineering
371,it imports specialist,IT Engineering,Leadership,Data Analytics
372,program coordinator,Other,Leadership,Data Analytics
373,"director, product",Other,Data Analytics,IT Engineering
374,mrs,Other,Leadership,IT Engineering
375,md,Other,Leadership,IT Engineering
376,kyb/kyc analsyt,Other,Leadership,IT Engineering
377,it security consultant,IT Engineering,Leadership,Data Analytics
378,sales,Other,Leadership,IT Engineering
379,online manager,Other,Product Management,Leadership
380,bd and systems enginner manager,IT Engineering,Product Management,Leadership
381,chief executive officer and business consultant,Other,Leadership,Marketing
382,program manager/controller project manager,Other,Product Management,Leadership
383,"senior manager sales, direct sales",Other,Product Management,Leadership
384,principal/chief information officer,IT Engineering,Leadership,Marketing
385,group general manager,Other,Product Management,Leadership
386,owner vouchercompany b.v. and entrepreneur,Other,Leadership,IT Engineering
387,"principal, chief strategy officer",Other,Leadership,Marketing
388,chief technology officer,IT Engineering,Leadership,Marketing
389,senior acct. manager,Other,Product Management,Leadership
390,advising assistant,Other,Leadership,Leadership
391,vice president it,IT Engineering,Marketing,Marketing
392,"manager, alumni relations",Other,Product Management,Leadership
393,senior vice president,Other,Marketing,Marketing
394,it administrator,IT Engineering,Leadership,Data Analytics
395,product manager,Other,Product Management,Leadership
396,senior web developer,IT Engineering,Leadership,IT Engineering
397,"head, strategic communications",Marketing,Leadership,Data Analytics
398,"vice president, production",Other,Leadership,Marketing
